"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UPPER","2021-04-18","875","880","854","857","-2.06","227443"
"UPPER","2021-04-15","926","926","870","875","-0.79","150506"
"UPPER","2021-04-13","880","895","870","882","0.23","155453"
"UPPER","2021-04-12","882","898","876","880","-1.35","209566"
"UPPER","2021-04-08","925","933","886","892","0.11","398538"
"UPPER","2021-04-07","915","915","885","891","-1.76","161347"
"UPPER","2021-04-06","912","930","893","907","-0.11","318866"
"UPPER","2021-04-05","875","910","848","908","5.34","391207"
"UPPER","2021-04-04","890","890","862","862","-1.93","322772"
"UPPER","2021-04-01","898","900","873","880","-2.00","334870"
"UPPER","2021-03-31","900","927","852","898","3.57","354826"
"UPPER","2021-03-30","810","880","805","867","8.37","344134"
"UPPER","2021-03-29","764","813","764","800","4.71","489926"
"UPPER","2021-03-25","775","779","760","764","-1.42","349994"
"UPPER","2021-03-24","837","837","755","772","-3.26","526050"
"UPPER","2021-03-23","760","798","735","798","9.92","419522"
"UPPER","2021-03-22","693","726","673","726","10.00","664051"
"UPPER","2021-03-21","669","669","642","660","3.45","240639"
"UPPER","2021-03-18","646","656","635","638","-0.93","187943"
"UPPER","2021-03-17","640","650","630","644","1.26","222906"
"UPPER","2021-03-16","670","670","635","636","-3.49","291398"
"UPPER","2021-03-15","679","682","642","659","1.85","447895"
"UPPER","2021-03-14","600","647","600","647","9.85","701070"
"UPPER","2021-03-10","600","612","587","589","-1.01","145452"
"UPPER","2021-03-09","579","612","570","595","3.48","498933"
"UPPER","2021-03-08","570","599","555","575","4.17","417909"
"UPPER","2021-03-04","529","557","522","552","6.15","245208"
"UPPER","2021-03-03","520","534","511","520","-1.89","165066"
"UPPER","2021-03-02","572","572","524","530","-2.75","152952"
"UPPER","2021-03-01","561","561","520","545","0.00","155068"
"UPPER","2021-02-28","553","564","533","535","-3.25","252826"
"UPPER","2021-02-25","563","568","545","553","0.00","187954"
"UPPER","2021-02-24","599","599","554","562","-1.58","283121"
"UPPER","2021-02-23","621","651","539","571","-3.55","753628"
"UPPER","2021-02-22","565","592","565","592","9.83","96224"
"UPPER","2021-02-21","500","539","500","539","0.10","397637"
"UPPER","2021-02-18","485","500","485","490","0.02","211792"
"UPPER","2021-02-17","485","491","474","479","-0.01","93303"
"UPPER","2021-02-16","490","498","482","483","-0.02","59641"
"UPPER","2021-02-15","500","500","480","491","0.03","76134"
"UPPER","2021-02-14","475","490","471","477","-0.01","126683"
"UPPER","2021-02-11","495","496","482","483","-0.01","89133"
"UPPER","2021-02-10","492","495","487","488","-0.00","67670"
"UPPER","2021-02-09","496","500","491","492","-0.01","60653"
"UPPER","2021-02-08","522","522","495","496","-0.00","132429"
"UPPER","2021-02-07","497","515","494","498","0.01","135923"
"UPPER","2021-02-04","495","499","485","493","-0.00","79183"
"UPPER","2021-02-03","500","505","493","493","-0.01","96529"
"UPPER","2021-02-02","499","500","492","497","0.01","106012"
"UPPER","2021-02-01","490","498","486","492","0.02","84530"
"UPPER","2021-01-31","490","498","480","484","-0.01","130040"
"UPPER","2021-01-28","518","518","488","490","-0.01","115789"
"UPPER","2021-01-27","520","520","489","494","-0.01","83964"
"UPPER","2021-01-26","510","512","495","497","-0.03","172098"
"UPPER","2021-01-25","519","528","505","510","-0.02","217376"
"UPPER","2021-01-24","525","525","509","519","0.02","290020"
"UPPER","2021-01-21","520","520","494","507","0.02","232105"
"UPPER","2021-01-20","501","511","469","496","0.04","259491"
"UPPER","2021-01-19","462","495","462","478","-0.02","134343"
"UPPER","2021-01-18","493","494","480","486","-0.01","125594"
"UPPER","2021-01-17","495","510","490","493","-0.00","108794"
"UPPER","2021-01-13","500","524","490","495","0.04","366739"
